DR2Name,KIC,RA,Dec,Gmag,BP_RP,parallax,pmra,pmde,rv_gaia,erv_gaia,Prot,RV_lam,e_RV_lam,Teff_lam,e_Teff_lam,logg_lam,e_logg_lam,feh_lam,e_feh_lam,afe_lam,e_afe_lam
Gaia DR2 2127802600322198656,10068574,289.08516,47.055980,15.9102,1.10489,1.0432034,-1.8127028,7.5939309,0.0000000,NaN,29.2920,32.1048,9.81221,5414.24,349.955,4.81528,0.653612,-0.347194,0.376839,0.215983,0.134408
Gaia DR2 2127803012639074304,10068598,289.10126,47.089053,15.1967,0.976409,0.68428742,-3.9297763,-10.897285,0.0000000,NaN,5.77200,-66.4490,5.27935,5474.82,41.5378,4.33447,0.0864891,-0.145360,0.0531678,0.102134,0.0293631
Gaia DR2 2127802531602724736,10068609,289.10766,47.042325,14.0706,0.953584,1.6336542,-2.5749436,-3.8100904,0.0000000,NaN,27.5590,-35.0397,3.78938,5387.70,22.2527,4.34862,0.0450183,0.163866,0.0286319,0.0286381,0.0119725
Gaia DR2 2127803562394913664,10068745,289.18033,47.093192,13.9436,1.19559,2.8070712,1.0641479,4.8955312,0.0000000,NaN,15.1320,4.32001,3.68145,4937.28,23.4213,4.54089,0.0444653,-0.00563972,0.0311909,0.0279829,0.0111877
Gaia DR2 2127791639565723520,10068939,289.27251,47.081254,13.7065,0.746243,1.1256703,-1.5716514,-2.6409987,0.0000000,NaN,4.57800,-20.4908,4.49089,6031.31,18.2965,4.35285,0.0392195,-0.0873850,0.0314955,0.0213843,0.0145053
Gaia DR2 2127791124169655040,10069078,289.33859,47.048042,13.8370,1.01838,2.1486194,10.437621,-14.312976,0.0000000,NaN,22.0540,-2.23046,5.32132,5260.21,43.3112,4.47561,0.0884983,0.164046,0.0526143,-0.00154023,0.0280914
Gaia DR2 2127831977897623168,10070180,289.83021,47.038163,13.6138,0.840039,1.4227425,-3.0015958,1.5093507,0.0000000,NaN,17.7160,-14.0393,3.95126,5738.28,18.5470,4.36260,0.0377684,0.265327,0.0274838,0.0151844,0.0122965
Gaia DR2 2127826136743130112,10070928,290.14687,47.051563,14.4947,0.932325,1.1494297,0.63125252,-11.561555,0.0000000,NaN,21.7470,7.38988,3.96026,5525.14,20.3282,4.38970,0.0412186,0.125393,0.0281548,0.0379033,0.0119795
Gaia DR2 2127823078725467776,10071047,290.19290,47.012341,14.6954,1.18865,1.3508051,9.3319923,16.550825,0.0000000,NaN,28.6870,-70.7001,4.20909,5019.34,23.9054,4.53596,0.0448397,-0.131896,0.0347546,0.0800188,0.0129699
Gaia DR2 2127846580786533120,10071206,290.25794,47.058797,12.7409,0.759845,1.9761967,-0.57002097,4.2823493,-23.410055,4.0595773,11.9090,-28.3993,4.47890,5970.76,16.6427,4.35791,0.0334679,0.0626531,0.0294260,0.0209533,0.0126138
Gaia DR2 2127845683133779072,10071382,290.31949,47.018758,12.0792,0.858278,3.0110406,-25.446390,1.0586895,-38.948725,0.87891002,1.52400,-42.9902,7.17104,5678.02,41.6362,4.21371,0.0929058,-0.234101,0.0583744,0.0806391,0.0347934
